Designator,Mid X,Mid Y,Rotation,Layer
D387,40.0,-88.0,0.0,top
D388,44.0,-88.0,0.0,top
D389,48.0,-88.0,0.0,top
D39,56.0,-44.0,0.0,top
D390,52.0,-88.0,0.0,top
D391,56.0,-88.0,0.0,top
D392,60.0,-88.0,0.0,top
D393,64.0,-88.0,0.0,top
D394,68.0,-88.0,0.0,top
D395,72.0,-88.0,0.0,top
D396,76.0,-88.0,0.0,top
D397,80.0,-88.0,0.0,top
D398,84.0,-88.0,0.0,top
D399,88.0,-88.0,0.0,top
D4,44.0,-40.0,0.0,top
D40,60.0,-44.0,0.0,top
D400,92.0,-88.0,0.0,top
D401,96.0,-88.0,0.0,top
D402,100.0,-88.0,0.0,top
D403,104.0,-88.0,0.0,top
D404,108.0,-88.0,0.0,top
D405,112.0,-88.0,0.0,top
D406,116.0,-88.0,0.0,top
D407,120.0,-88.0,0.0,top
D408,124.0,-88.0,0.0,top
D409,128.0,-88.0,0.0,top
D41,64.0,-44.0,0.0,top
D410,132.0,-88.0,0.0,top
D411,136.0,-88.0,0.0,top
D412,140.0,-88.0,0.0,top
D413,144.0,-88.0,0.0,top
D414,148.0,-88.0,0.0,top
D415,152.0,-88.0,0.0,top
D416,156.0,-88.0,0.0,top
D417,160.0,-88.0,0.0,top
D418,164.0,-88.0,0.0,top
D419,40.0,-92.0,0.0,top
D42,68.0,-44.0,0.0,top
D420,44.0,-92.0,0.0,top
D421,48.0,-92.0,0.0,top
D422,52.0,-92.0,0.0,top
D423,56.0,-92.0,0.0,top
D424,60.0,-92.0,0.0,top
D425,64.0,-92.0,0.0,top
D426,68.0,-92.0,0.0,top
D427,72.0,-92.0,0.0,top
D428,76.0,-92.0,0.0,top
D429,80.0,-92.0,0.0,top
D43,72.0,-44.0,0.0,top
D430,84.0,-92.0,0.0,top
D431,88.0,-92.0,0.0,top
D432,92.0,-92.0,0.0,top
D433,96.0,-92.0,0.0,top
D434,100.0,-92.0,0.0,top
D435,104.0,-92.0,0.0,top
D436,108.0,-92.0,0.0,top
D437,112.0,-92.0,0.0,top
D438,116.0,-92.0,0.0,top
